timestamp,filesize,resource,duration
1355954000.62,16,UFlorida-SSERCA_FTP,-
1355954001.23,16,FNAL_FERMIGRID_FTP,16.3217358589
1355954017.55,16,SPRACE_FTP,18.8215470314
1355954036.37,16,NYSGRID_CORNELL_NYS1,-
1355954036.96,16,Purdue-Steele_FTP,5.09633708
1355954042.06,16,MIT_CMS_CE2_FTP,7.89692997932
1355954049.96,16,UTA_SWT2_FTP,10.2859899998
1355954060.24,16,SWT2_CPB_FTP,-
1355954060.73,16,AGLT2_CE_2_FTP,4.81264209747
1355954065.54,16,USCMS-FNAL-WC1-CE3_F,-
1355954066.04,32,UFlorida-SSERCA_FTP,-
1355954066.44,32,FNAL_FERMIGRID_FTP,21.2750020027
1355954087.72,32,SPRACE_FTP,19.1730480194
1355954106.89,32,NYSGRID_CORNELL_NYS1,-
1355954107.37,32,Purdue-Steele_FTP,11.8640139103
1355954119.24,32,MIT_CMS_CE2_FTP,8.31031608582
1355954127.55,32,UTA_SWT2_FTP,20.3849990368
1355954147.93,32,SWT2_CPB_FTP,-
1355954148.43,32,AGLT2_CE_2_FTP,4.91833209991
1355954153.35,32,USCMS-FNAL-WC1-CE3_F,-
1355954153.83,64,UFlorida-SSERCA_FTP,-
1355954154.23,64,FNAL_FERMIGRID_FTP,38.6114680767
1355954192.84,64,SPRACE_FTP,20.1498849392
1355954212.99,64,NYSGRID_CORNELL_NYS1,-
1355954213.49,64,Purdue-Steele_FTP,28.2237482071
1355954241.71,64,MIT_CMS_CE2_FTP,11.2022199631
1355954252.91,64,UTA_SWT2_FTP,36.3807761669
1355954289.29,64,SWT2_CPB_FTP,-
1355954289.79,64,AGLT2_CE_2_FTP,5.04932308197
1355954294.84,64,USCMS-FNAL-WC1-CE3_F,-
1355954295.32,128,UFlorida-SSERCA_FTP,-
1355954295.71,128,FNAL_FERMIGRID_FTP,63.8111488819
1355954359.53,128,SPRACE_FTP,22.6626768112
1355954382.19,128,NYSGRID_CORNELL_NYS1,-
1355954382.68,128,Purdue-Steele_FTP,7.19037103653
1355954389.87,128,MIT_CMS_CE2_FTP,12.1735091209
1355954402.05,128,UTA_SWT2_FTP,77.0081069469
1355954479.06,128,SWT2_CPB_FTP,-
1355954479.58,128,AGLT2_CE_2_FTP,5.77512907982
1355954485.36,128,USCMS-FNAL-WC1-CE3_F,-
1355954485.85,256,UFlorida-SSERCA_FTP,-
1355954486.29,256,FNAL_FERMIGRID_FTP,124.750982046
1355954611.04,256,SPRACE_FTP,31.3283269405
1355954642.37,256,NYSGRID_CORNELL_NYS1,-
1355954642.87,256,Purdue-Steele_FTP,27.1876819134
1355954670.05,256,MIT_CMS_CE2_FTP,14.3185698986
1355954684.37,256,UTA_SWT2_FTP,139.913874149
1355954824.29,256,SWT2_CPB_FTP,-
1355954824.97,256,AGLT2_CE_2_FTP,9.01754808426
1355954833.99,256,USCMS-FNAL-WC1-CE3_F,-
1355954834.49,512,UFlorida-SSERCA_FTP,-
1355954834.89,512,FNAL_FERMIGRID_FTP,258.282428026
1355955093.17,512,SPRACE_FTP,41.3170890808
1355955134.49,512,NYSGRID_CORNELL_NYS1,-
1355955134.93,512,Purdue-Steele_FTP,54.3162250519
1355955189.24,512,MIT_CMS_CE2_FTP,307.400346994
1355955496.64,512,UTA_SWT2_FTP,300.562462091
1355955797.21,512,SWT2_CPB_FTP,-
1355955797.66,512,AGLT2_CE_2_FTP,59.8420529366
1355955857.51,512,USCMS-FNAL-WC1-CE3_F,-
1355955857.94,1024,UFlorida-SSERCA_FTP,-
1355955858.32,1024,FNAL_FERMIGRID_FTP,462.425006866
1355956320.74,1024,SPRACE_FTP,62.316409111
1355956383.06,1024,NYSGRID_CORNELL_NYS1,-
1355956383.66,1024,Purdue-Steele_FTP,52.6357572079
1355956436.3,1024,MIT_CMS_CE2_FTP,31.455286026
1355956467.75,1024,UTA_SWT2_FTP,438.25394392
1355956906.01,1024,SWT2_CPB_FTP,-
1355956906.51,1024,AGLT2_CE_2_FTP,22.8379659653
1355956929.35,1024,USCMS-FNAL-WC1-CE3_F,-
1355956929.81,2048,UFlorida-SSERCA_FTP,-
1355956930.21,2048,FNAL_FERMIGRID_FTP,931.134200096
1355957861.34,2048,SPRACE_FTP,79.8040070534
1355957941.15,2048,NYSGRID_CORNELL_NYS1,-
1355957941.66,2048,Purdue-Steele_FTP,86.7505578995
1355958028.41,2048,MIT_CMS_CE2_FTP,62.710723877
1355958091.12,2048,UTA_SWT2_FTP,1129.87910295
1355959221.02,2048,SWT2_CPB_FTP,-
1355959221.6,2048,AGLT2_CE_2_FTP,25.5414102077
1355959247.14,2048,USCMS-FNAL-WC1-CE3_F,-
1355959247.6,4096,UFlorida-SSERCA_FTP,-
1355959247.91,4096,FNAL_FERMIGRID_FTP,-
1355959248.25,4096,SPRACE_FTP,-
1355959248.59,4096,NYSGRID_CORNELL_NYS1,-
1355959248.91,4096,Purdue-Steele_FTP,-
1355959249.24,4096,MIT_CMS_CE2_FTP,-
1355959249.56,4096,UTA_SWT2_FTP,-
1355959249.87,4096,SWT2_CPB_FTP,-
1355959250.19,4096,AGLT2_CE_2_FTP,-
1355959250.52,4096,USCMS-FNAL-WC1-CE3_F,-